"ATTN_DATE_YMD","ATTN_PCT","TEMP"
20150113,91.34,29.5
20150114,91.15,22.8
20150115,91.28,29.5
20150116,89.77,33.4
20150120,90.76,37.5
20150121,91.05,31.4
20150122,91.2,34.4
20150123,90.42,32.7
20150203,87.74,18.1
20150204,91.46,31.2
20150205,91.12,33.8
20150206,89.69,17.9
20150209,86.56,27.7
20150210,91.21,30
20150211,91.5,28.3
20150212,91.12,32.3
20150213,87.49,16.1
